PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,SAMPLE_TYPE,DISAPPEARS,REAPPEARS,CLEAR_TO_BOTTOM,NARS_COMMENT,NARS_FLAG,INDEX_SITE_DEPTH
8/13/2024,2020438,NLA_ME-10068,NLA22_ME-10002,1,6/15/2022,ME,SECH,1.3,1.2,,,,2.9
8/13/2024,2020439,NLA_CA-10256,NLA22_CA-10097,1,6/15/2022,CA,SECH,2.85,3.3,,,,13.5
8/13/2024,2020440,NLA_CA-10173,NLA22_CA-10016,1,6/14/2022,CA,SECH,2.55,2.32,,,,16
8/13/2024,2020441,NLA_NJ-10024,NLA22_NJ-10004,1,6/15/2022,NJ,SECH,1.4,1.3,,,,2
8/13/2024,2020442,NLA_VA-10090,NLA22_VA-10029,1,6/15/2022,VA,SECH,0.5,0.4,,,,4.7
8/13/2024,2020443,NLA_IN-10054,NES22-10071,1,6/15/2022,IN,SECH,1.05,1,,,,11.4
8/13/2024,2020444,NLA_MA-10030,NLA22_MA-10012,1,6/15/2022,MA,SECH,1.7,1.6,,,,2.2
8/13/2024,2020445,NLA_FL-10141,NLA22_FL-10032,1,6/14/2022,FL,SECH,2.6,2.6,,,,6.1
8/13/2024,2020446,NLA_GA-10057,NLA22_GA-10009,1,6/15/2022,GA,SECH,1.52,1.52,Y,,,1.52
8/13/2024,2020447,NLA_KY-10057,NLA22_KY-10019,1,6/14/2022,KY,SECH,2.6,2.5,,,,4.2
8/13/2024,2020448,NLA_TX-10220,NLA22_TX-10006,1,6/15/2022,TX,SECH,0.08,0.06,,,,1.5
8/13/2024,2020449,NLA_MO-10028,NES22-10140,1,6/15/2022,MO,SECH,1.8,1.7,,,,10.5
8/13/2024,2020450,NLA_WV-10052,NLA22_WV-10026,1,6/15/2022,WV,SECH,1.9,1.9,Y,,,1.95
8/13/2024,2020451,NLA_NM-10132,NLA22_NM-10052,1,6/15/2022,NM,SECH,2.1,2,,,,2.9
8/13/2024,2020452,NLA_LA-10456,NLA22_LA-10320,1,6/15/2022,LA,SECH,1.55,1.42,,,,3.4
8/13/2024,2020454,NLA_PA-10084,NLA22_PA-10041,1,6/16/2022,PA,SECH,0.7,0.65,,,,3.2
8/13/2024,2020455,NLA_VA-10059,NLA22_VA-10005,1,6/16/2022,VA,SECH,2.1,2.1,Y,,,2.1
8/13/2024,2020456,NLA_MO-10032,NES22-10145,1,6/16/2022,MO,SECH,1,0.9,,,,8.7
8/13/2024,2020457,NLA_SD-10201,NLA22_SD-10016,1,6/14/2022,SD,SECH,1.51,1.49,,,,2.5
8/13/2024,2020458,NLA_SD-10186,NLA22_SD-10001,1,6/15/2022,SD,SECH,0.75,0.7,,,,2.2
